2022-06-21T02:25:30.082Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:25:30.082Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:25:30.214Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:25:30.214Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:26:30.456Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:26:30.462Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 1630, max_timeout = 43200
2022-06-21T02:26:30.467Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:26:30.467Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:26:30.603Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:26:30.608Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:27:30.835Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:27:30.841Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 1690, max_timeout = 43200
2022-06-21T02:27:30.841Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:27:30.841Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:27:30.957Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:27:30.957Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:28:31.195Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:28:31.201Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 1751, max_timeout = 43200
2022-06-21T02:28:31.201Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:28:31.201Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:28:31.349Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:28:31.354Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:29:31.585Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:29:31.591Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 1811, max_timeout = 43200
2022-06-21T02:29:31.596Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:29:31.602Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:29:31.732Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:29:31.737Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:30:31.967Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:30:31.973Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 1872, max_timeout = 43200
2022-06-21T02:30:31.973Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:30:31.973Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:30:32.144Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:30:32.149Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:31:32.379Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:31:32.396Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 1932, max_timeout = 43200
2022-06-21T02:31:32.396Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:31:32.396Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:31:32.520Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:31:32.525Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:32:32.759Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:32:32.765Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 1992, max_timeout = 43200
2022-06-21T02:32:32.770Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:32:32.775Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:32:32.924Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:32:32.929Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:33:33.155Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:33:33.161Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 2053, max_timeout = 43200
2022-06-21T02:33:33.161Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:33:33.161Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:33:33.393Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:33:33.393Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:34:33.662Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:34:33.668Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 2113, max_timeout = 43200
2022-06-21T02:34:33.668Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:34:33.668Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:34:33.785Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:34:33.790Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:35:33.998Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:35:34.004Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 2174, max_timeout = 43200
2022-06-21T02:35:34.009Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:35:34.009Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:35:34.159Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T02:35:34.164Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T02:36:34.388Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T02:36:34.394Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 2234, max_timeout = 43200
2022-06-21T02:36:34.399Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T02:36:34.399Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T02:36:34.547Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
